# Sheet: Accounts
Column Name	Description	Req'd	Unique	Type	Allowable Values
Name	This is the nickname for the account. Users can view and search against this field through the user interface.	0	0	string(1024)	any
Active*	A false value will inactivate the account making it no longer available to users. A true value will make it active and available to users.	1	0	boolean	Yes/No, True/False, Y/N, T/F, 0/1
Chart of Accounts*	Chart of Accounts Name. Must exist in Coupa	1	0	string(50)	Must exist in Coupa.
Segment 1*	Each segment represents the segment of the account code (e.g. code: 99-9023-100132, where segment-1 is 99, segment-2 is 9023, and segment-3 is 100132)	1	0	string(100)	any
Segment 2	Each segment represents the segment of the account code (e.g. code: 99-9023-100132, where segment-1 is 99, segment-2 is 9023, and segment-3 is 100132)	0	0	string(100)	any
Segment 3	Each segment represents the segment of the account code (e.g. code: 99-9023-100132, where segment-1 is 99, segment-2 is 9023, and segment-3 is 100132)	0	0	string(100)	any
Segment 4	Each segment represents the segment of the account code (e.g. code: 99-9023-100132, where segment-1 is 99, segment-2 is 9023, and segment-3 is 100132)	0	0	string(100)	any
Segment 5	Each segment represents the segment of the account code (e.g. code: 99-9023-100132, where segment-1 is 99, segment-2 is 9023, and segment-3 is 100132)	0	0	string(100)	any
Segment 6	Each segment represents the segment of the account code (e.g. code: 99-9023-100132, where segment-1 is 99, segment-2 is 9023, and segment-3 is 100132)	0	0	string(100)	any
Segment 7	Each segment represents the segment of the account code (e.g. code: 99-9023-100132, where segment-1 is 99, segment-2 is 9023, and segment-3 is 100132)	0	0	string(100)	any
Segment 8	Each segment represents the segment of the account code (e.g. code: 99-9023-100132, where segment-1 is 99, segment-2 is 9023, and segment-3 is 100132)	0	0	string(100)	any
Segment 9	Each segment represents the segment of the account code (e.g. code: 99-9023-100132, where segment-1 is 99, segment-2 is 9023, and segment-3 is 100132)	0	0	string(100)	any
Segment 10	Each segment represents the segment of the account code (e.g. code: 99-9023-100132, where segment-1 is 99, segment-2 is 9023, and segment-3 is 100132)	0	0	string(100)	any
Segment 11	Each segment represents the segment of the account code (e.g. code: 99-9023-100132, where segment-1 is 99, segment-2 is 9023, and segment-3 is 100132)	0	0	string(100)	any
Segment 12	Each segment represents the segment of the account code (e.g. code: 99-9023-100132, where segment-1 is 99, segment-2 is 9023, and segment-3 is 100132)	0	0	string(100)	any
Segment 13	Each segment represents the segment of the account code (e.g. code: 99-9023-100132, where segment-1 is 99, segment-2 is 9023, and segment-3 is 100132)	0	0	string(100)	any
Segment 14	Each segment represents the segment of the account code (e.g. code: 99-9023-100132, where segment-1 is 99, segment-2 is 9023, and segment-3 is 100132)	0	0	string(100)	any
Segment 15	Each segment represents the segment of the account code (e.g. code: 99-9023-100132, where segment-1 is 99, segment-2 is 9023, and segment-3 is 100132)	0	0	string(100)	any
Segment 16	Each segment represents the segment of the account code (e.g. code: 99-9023-100132, where segment-1 is 99, segment-2 is 9023, and segment-3 is 100132)	0	0	string(100)	any
Segment 17	Each segment represents the segment of the account code (e.g. code: 99-9023-100132, where segment-1 is 99, segment-2 is 9023, and segment-3 is 100132)	0	0	string(100)	any
Segment 18	Each segment represents the segment of the account code (e.g. code: 99-9023-100132, where segment-1 is 99, segment-2 is 9023, and segment-3 is 100132)	0	0	string(100)	any
Segment 19	Each segment represents the segment of the account code (e.g. code: 99-9023-100132, where segment-1 is 99, segment-2 is 9023, and segment-3 is 100132)	0	0	string(100)	any
Segment 20	Each segment represents the segment of the account code (e.g. code: 99-9023-100132, where segment-1 is 99, segment-2 is 9023, and segment-3 is 100132)	0	0	string(100)	any

















































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































# Sheet: Account Validation Rules
Column Name	Description	Req'd	Unique	Type	Allowable Values
Name*	Name of Account Validation Rule	1	1	string(100)	any
Error Message*	Error Message to display if rule is triggered	1	0	string(255)	any
Description	Description of the rule	0	0	string(255)	any
Active	If this rule is currently active or not	0	0	boolean	Yes/No, True/False, Y/N, T/F
