Intellectual Property and Data API

Elements

The following elements are available for the Intellectual Property and Data API:

Element 	 Description 	 Required Field? 	 Unique? 	 Allowable Value 	 Api_In Field? 	 Api_Out Field? 	 Data Type
non_disclosure_copying_restriction 	 	no 	no 	any 	yes 	yes 	integer
permitted_disclosees_directors_officers 	 	no 	no 	any 	yes 	yes 	boolean
permitted_disclosees_employees 	 	no 	no 	any 	yes 	yes 	boolean
permitted_disclosees_advisers 	 	no 	no 	any 	yes 	yes 	boolean
permitted_disclosees_contractors 	 	no 	no 	any 	yes 	yes 	boolean
id 	Coupa unique identifier 	no 	no 	any 	yes 	yes 	integer
created_at 	Automatically created by Coupa in the format YYYY-MM-DDTHH:MM:SS+HH:MMZ 	no 	no 	any 	yes 	yes 	datetime
updated_at 	Automatically created by Coupa in the format YYYY-MM-DDTHH:MM:SS+HH:MMZ 	no 	no 	any 	yes 	yes 	datetime
contract_type_custom_field_6 	 	no 	no 	any 	yes 	 	string(255)
contract_type_custom_field_7 	 	no 	no 	any 	yes 	 	string(255)
contract_type_custom_field_8 	 	no 	no 	any 	yes 	 	string(255)
contract_type_custom_field_9 	 	no 	no 	any 	yes 	 	string(255)
contract_type_custom_field_10 	 	no 	no 	any 	yes 	 	string(255)
