Work Confirmation/Header (Service/Time Sheet Header) Export

Export of these records is included as a Standard CSV Export.

Position 	 Column Name 	 Description 	 Type 	 Req/Unique 	 Allowable Values
1 	custom-field-1 	Integration Custom Field 1 	 	No/No 	any
2 	custom-field-2 	Integration Custom Field 2 	 	No/No 	any
3 	custom-field-3 	Integration Custom Field 3 	 	No/No 	any
4 	custom-field-4 	Integration Custom Field 4 	 	No/No 	any
5 	custom-field-5 	Integration Custom Field 5 	 	No/No 	any
6 	custom-field-6 	Integration Custom Field 6 	 	No/No 	any
7 	custom-field-7 	Integration Custom Field 7 	 	No/No 	any
8 	custom-field-8 	Integration Custom Field 8 	 	No/No 	any
9 	custom-field-9 	Integration Custom Field 9 	 	No/No 	any
10 	custom-field-10 	Integration Custom Field 10 	 	No/No 	any
